Wall time,Step,Value
1741960905.82513,0,0.0032218662090599537
1741960928.7956648,1,0.0032218662090599537
1741960951.4407604,2,0.0032218662090599537
1741960974.7183373,3,0.0032218662090599537
1741960997.2780528,4,0.0032218662090599537
1741961019.7872887,5,0.0016109331045299768
1741961042.7020903,6,0.0016109331045299768
1741961064.613815,7,0.0016109331045299768
1741961087.620043,8,0.0016109331045299768
1741961110.3617837,9,0.0016109331045299768
1741961132.7415826,10,0.0008054665522649884
1741961155.3183885,11,0.0008054665522649884
1741961178.414294,12,0.0008054665522649884
1741961201.3098361,13,0.0008054665522649884
1741961223.804551,14,0.0008054665522649884
1741961246.7723458,15,0.0004027332761324942
1741961269.3504357,16,0.0004027332761324942
1741961291.296939,17,0.0004027332761324942
1741961313.788067,18,0.0004027332761324942
1741961336.62222,19,0.0004027332761324942
1741961359.7409995,20,0.0002013666380662471
1741961383.1969543,21,0.0002013666380662471
1741961406.85248,22,0.0002013666380662471
1741961430.4330182,23,0.0002013666380662471
1741961453.5031233,24,0.0002013666380662471
1741961476.7736697,25,0.00010068331903312355
1741961499.6527042,26,0.00010068331903312355
1741961521.693211,27,0.00010068331903312355
1741961544.8787637,28,0.00010068331903312355
1741961567.5143077,29,0.00010068331903312355
1741961590.5315878,30,5.0341659516561776e-05
1741961613.8770258,31,5.0341659516561776e-05
1741961636.9579933,32,5.0341659516561776e-05
1741961660.1409628,33,5.0341659516561776e-05
1741961682.4202304,34,5.0341659516561776e-05
1741961705.545981,35,2.5170829758280888e-05
1741961728.4095263,36,2.5170829758280888e-05
1741961751.6757216,37,2.5170829758280888e-05
1741961775.3929665,38,2.5170829758280888e-05
1741961799.2916493,39,2.5170829758280888e-05
1741961822.5837774,40,1.2585414879140444e-05
1741961845.5595486,41,1.2585414879140444e-05
1741961868.6771064,42,1.2585414879140444e-05
1741961892.5298958,43,1.2585414879140444e-05
1741961915.5939364,44,1.2585414879140444e-05
1741961938.2103262,45,6.292707439570222e-06
1741961961.5031772,46,6.292707439570222e-06
1741961984.4791534,47,6.292707439570222e-06
1741962006.7276468,48,6.292707439570222e-06
1741962029.626871,49,6.292707439570222e-06
1741962052.7867436,50,3.146353719785111e-06
1741962075.909956,51,3.146353719785111e-06
1741962098.777539,52,3.146353719785111e-06
1741962121.449004,53,3.146353719785111e-06
1741962144.2533646,54,3.146353719785111e-06
1741962166.9033992,55,1.5731768598925555e-06
1741962189.5695503,56,1.5731768598925555e-06
1741962211.517567,57,1.5731768598925555e-06
1741962234.4834247,58,1.5731768598925555e-06
1741962256.7055485,59,1.5731768598925555e-06
1741962280.2718132,60,7.865884299462778e-07
1741962303.2867723,61,7.865884299462778e-07
1741962326.7052772,62,7.865884299462778e-07
1741962349.9502156,63,7.865884299462778e-07
1741962372.492894,64,7.865884299462778e-07
1741962394.4325812,65,3.932942149731389e-07
1741962416.6079464,66,3.932942149731389e-07
1741962438.8305745,67,3.932942149731389e-07
1741962461.1566243,68,3.932942149731389e-07
1741962483.1401186,69,3.932942149731389e-07
1741962505.1907816,70,1.9664710748656944e-07
1741962526.7045364,71,1.9664710748656944e-07
1741962548.713533,72,1.9664710748656944e-07
1741962571.2456388,73,1.9664710748656944e-07
1741962593.4216506,74,1.9664710748656944e-07
1741962615.4708812,75,9.832355374328472e-08
1741962637.5942657,76,9.832355374328472e-08
1741962660.347787,77,9.832355374328472e-08
