Wall time,Step,Value
1741960905.825057,0,1.314674735069275
1741960928.7956002,1,1.0351656675338745
1741960951.4406927,2,0.904045581817627
1741960974.718274,3,0.7855365872383118
1741960997.2779956,4,0.68911212682724
1741961019.787233,5,0.6101080775260925
1741961042.702018,6,0.4394616484642029
1741961064.613747,7,0.3566756546497345
1741961087.6199737,8,0.3214869201183319
1741961110.361727,9,0.3004535734653473
1741961132.741517,10,0.2720356285572052
1741961155.3183224,11,0.20618334412574768
1741961178.4142165,12,0.1812613606452942
1741961201.3097777,13,0.16944600641727448
1741961223.8044918,14,0.163339301943779
1741961246.7722642,15,0.1529189944267273
1741961269.3503685,16,0.13618743419647217
1741961291.2968805,17,0.12933051586151123
1741961313.7879984,18,0.12503869831562042
1741961336.6221452,19,0.12065798789262772
1741961359.7409332,20,0.11824684590101242
1741961383.1968944,21,0.11095427721738815
1741961406.8524168,22,0.1092962995171547
1741961430.432956,23,0.10654903948307037
1741961453.5030608,24,0.10195983946323395
1741961476.773603,25,0.10091360658407211
1741961499.6526434,26,0.09616269171237946
1741961521.693131,27,0.09628461301326752
1741961544.8787038,28,0.09646531194448471
1741961567.514248,29,0.09856569021940231
1741961590.5315247,30,0.09435439854860306
1741961613.8769593,31,0.09263753145933151
1741961636.9579241,32,0.0909976214170456
1741961660.1408868,33,0.09120777994394302
1741961682.4201508,34,0.0929003581404686
1741961705.5459056,35,0.09094782173633575
1741961728.4094608,36,0.08650064468383789
1741961751.6756618,37,0.08972136676311493
1741961775.392908,38,0.09162614494562149
1741961799.2915952,39,0.08960001170635223
1741961822.583717,40,0.08975919336080551
1741961845.559489,41,0.0882209986448288
1741961868.6770499,42,0.08911796659231186
1741961892.5298357,43,0.08526182174682617
1741961915.5938778,44,0.08797755837440491
1741961938.2102726,45,0.09018468856811523
1741961961.5031207,46,0.08590241521596909
1741961984.4790897,47,0.08520152419805527
1741962006.7275796,48,0.08387008309364319
1741962029.6268103,49,0.08676476776599884
1741962052.7866783,50,0.08633559942245483
1741962075.9098928,51,0.08651319891214371
1741962098.7774835,52,0.08935476094484329
1741962121.4489484,53,0.08616288751363754
1741962144.2533092,54,0.08702793717384338
1741962166.9033341,55,0.08585992455482483
1741962189.5694904,56,0.08566313236951828
1741962211.5174963,57,0.08524400740861893
1741962234.4833577,58,0.08624938130378723
1741962256.7054927,59,0.08720934391021729
1741962280.2717571,60,0.08721146732568741
1741962303.2867122,61,0.08686221390962601
1741962326.7052197,62,0.08734431862831116
1741962349.9501371,63,0.08561079949140549
1741962372.4928253,64,0.08852614462375641
1741962394.4325247,65,0.08724728971719742
1741962416.6078804,66,0.08589740097522736
1741962438.8305159,67,0.08581484854221344
1741962461.1565585,68,0.08824245631694794
1741962483.14006,69,0.08784393966197968
1741962505.1907136,70,0.08810858428478241
1741962526.704477,71,0.08568349480628967
1741962548.713465,72,0.08786783367395401
1741962571.2455614,73,0.08641380071640015
1741962593.4215946,74,0.08834284543991089
1741962615.470826,75,0.0848279744386673
1741962637.5942054,76,0.08603692054748535
1741962660.3477242,77,0.08817140758037567
